Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + position state + curriculum learning
Training from scratch (v4: no warm-start).
Curriculum stages: 3 x 33% each

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

Starting curriculum stage 0: Conservative (OTM-only)
step 05400 ( 41.8%) | loss: 1.092814 | trade:0.40 call:0.60 put:0.40 | ATM:0.55 OTM:0.45 | stage:1 | lr: 1.50e-04 | left: 140s
step 05450 ( 42.0%) | loss: 1.071881 | trade:0.38 call:0.59 put:0.41 | ATM:0.61 OTM:0.39 | stage:1 | lr: 1.50e-04 | left: 139s
step 05500 ( 42.2%) | loss: 1.082551 | trade:0.36 call:0.56 put:0.44 | ATM:0.62 OTM:0.38 | stage:1 | lr: 1.50e-04 | left: 139s
step 05550 ( 42.4%) | loss: 1.099538 | trade:0.35 call:0.61 put:0.39 | ATM:0.67 OTM:0.33 | stage:1 | lr: 1.50e-04 | left: 138s
step 05600 ( 42.6%) | loss: 1.078853 | trade:0.37 call:0.67 put:0.33 | ATM:0.64 OTM:0.36 | stage:1 | lr: 1.50e-04 | left: 138s
step 05650 ( 42.9%) | loss: 1.086355 | trade:0.34 call:0.66 put:0.34 | ATM:0.68 OTM:0.32 | stage:1 | lr: 1.50e-04 | left: 137s
step 05700 ( 43.1%) | loss: 1.097195 | trade:0.42 call:0.65 put:0.35 | ATM:0.60 OTM:0.40 | stage:1 | lr: 1.50e-04 | left: 137s
step 05750 ( 43.3%) | loss: 1.075934 | trade:0.36 call:0.64 put:0.36 | ATM:0.61 OTM:0.39 | stage:1 | lr: 1.50e-04 | left: 136s
step 05800 ( 43.5%) | loss: 1.086150 | trade:0.36 call:0.66 put:0.34 | ATM:0.66 OTM:0.34 | stage:1 | lr: 1.50e-04 | left: 136s
step 05850 ( 43.7%) | loss: 1.077704 | trade:0.35 call:0.62 put:0.38 | ATM:0.60 OTM:0.40 | stage:1 | lr: 1.50e-04 | left: 135s
